,Date,User,Tweet,Label;;;;
36,2022-11-28 05:53:08+00:00,BMendut,KEJEM BANGET YA!! ANNE RATNA MUSTIKA SEBUT DEDI MULYADI SEBAGAI BUPATI B... https://t.co/PrR50YOvjN lewat @YouTube,Negatif;;;;
37,2022-11-28 05:52:54+00:00,BMendut,"DEDI MULYADI SUDAH ""IKHLAS"" MELEPAS KEPERGIAN ANNE RATNA MUSTIKA DARI HI... https://t.co/anyLTMYph3 lewat @YouTube",Negatif;;;;
38,2022-11-28 05:52:39+00:00,BMendut,"EFEK ANNE RATNA MUSTIKA BONGKAR HUTANG DEDI MULYADI, KINI BUPATI PURWAKA... https://t.co/oIBgvOCAaK lewat @YouTube",Negatif;;;;
39,2022-11-28 05:51:16+00:00,45Sidikjari,"Sebut Dedi Mulyadi Pencitraan, Anne Ratna Tak Sungkan Bandingkan dengan Dirinya https://t.co/s71D2RpXr5",Negatif;;;;
40,2022-11-28 05:50:18+00:00,45Sidikjari,Anne Ratna Blak-blakan Tabiat Asli Dedi Mulyadi: Kamu Ga Punya Malu? https://t.co/HbYeBLDltE,Negatif;;;;
41,2022-11-28 04:51:36+00:00,Yadi79993339,@DediMulyadi71 Kang Dedi dari keluarga kecil Yadi ingin ke temu bapa Dedi Mulyadi semoga Allah kabulkan doa ku amiin bismillah hirohhma hirohim,Positif;;;;
42,2022-11-28 04:48:09+00:00,Yadi79993339,@DediMulyadi71 Ini kang Dedi Mulyadi ya Allah semoga Allah panjang kan umur sehat selalu kang Dedi Mulyadi,Positif;;;;
43,2022-11-28 04:45:28+00:00,DediMulyadi71,@Yadi79993339 Waalaikumsalam,Positif;;;;
44,2022-11-28 04:29:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZYfIj,Positif;;;;
45,2022-11-28 04:26:42+00:00,Raka_HI12,"@TRuzh234 @yusuf_dumdum Gubernurnya jga krh tegas,mending kang dedi mulyadi",Positif;;;;
46,2022-11-28 04:26:39+00:00,DediMulyadi71,"Saat cek harga bahan pangan di pasar induk Cikopo Purwakarta, dihadang ibu ibu. Harapan mereka harga pangan tetap terjangkau https://t.co/V3xOgVrTdM",Negatif;;;;
47,2022-11-28 04:23:53+00:00,Raka_HI12,"@KINGsm4kers @Nayaka_Sofii @yusuf_dumdum Mending gubernurnya dedi mulyadi,dibanding RK",Positif;;;;
48,2022-11-28 02:54:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,Positif;;;;
49,2022-11-28 02:18:07+00:00,SNenichols,"Kang Dedi Mulyadi Teringat Nyi Hyang Saat Melihat Bapak Ini Suapi Anak yang Ditingal Ibunya, Kang Dedi pun berharap jika si anak yang kini baru duduk di bangku sekolah dasar (SD) kelas IV ini bisa lebih mandiri.",Positif;;;;
50,2022-11-28 02:15:38+00:00,mbakyu_ngatinem,"Contoh pejabat jual muka an, dapur rumah bawa politik malu2 kan @ridwankamil sekali2 negur. Kerja aja bu, indeks ekonomi purwakarta coba cek, malu sama masyarakat.,Negatif;;;;
Anne Ratna Mustika Sebut Bupati Purwakarta Sebelumnya Meninggalkan Utang, Dedi Mulyadi? https://t.co/piCmQDLvWB",Negatif;;;;
51,2022-11-28 01:39:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZHcGj,Positif;;;;
52,2022-11-28 01:12:15+00:00,ChannelRrc,"Bongkar Utang Dedi Mulyadi Saat Jabat Bupati Purwakarta, Anne Ratna Mustika Dihujat Warganet https://t.co/c6Ms4bdxX7 waduhhh,,lupa diri buk bupati,,ini ada pihak ketiga nih",Negatif;;;;
53,2022-11-28 01:11:17+00:00,ChannelRrc,"Bongkar Utang Dedi Mulyadi Saat Jabat Bupati Purwakarta, Anne Ratna Mustika Dihujat Warganet https://t.co/c6Ms4aVoIZ",Negatif;;;;
54,2022-11-28 00:54:32+00:00,VIVAcoid,"Hadiri Pernikahan, Begini Pesan Dedi Mulyadi untuk Kiki Amalia dan Agung Nugraha https://t.co/JzSzMxQqtI",Negatif;;;;
55,2022-11-28 00:04:42+00:00,FletcherVette,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut",Positif;;;;
56,2022-11-28 00:04:12+00:00,shannonces,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut",Positif;;;;
57,2022-11-28 00:03:11+00:00,JNeyates,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut",Positif;;;;
58,2022-11-28 00:02:46+00:00,IanHuntere,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut",Positif;;;;
59,2022-11-28 00:02:16+00:00,brucewase,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut",Positif;;;;
60,2022-11-28 00:01:41+00:00,cristinvip,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut",Positif;;;;
61,2022-11-28 00:01:06+00:00,petequinnse,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut",Positif;;;;
62,2022-11-27 23:59:54+00:00,Suara_sumedang,"Bongkar Utang Dedi Mulyadi Saat Jabat Bupati Purwakarta, Anne Ratna Mustika Dihujat Warganet https://t.co/O4nHZHazCG",Negatif;;;;
63,2022-11-27 23:59:09+00:00,Suara_sumedang,"Anne Ratna Mustika Sebut Bupati Purwakarta Sebelumnya Meninggalkan Utang, Dedi Mulyadi? https://t.co/n58oKGJsDl",Negatif;;;;
64,2022-11-27 23:20:39+00:00,SNenichols,"Bertemu Warga dari Tanah Kelahiran Anne Ratna Mustika, Dedi Mulyadi Terharu sampai Merasa Tersindir: Kamu Nyindir Saya?, Kang Dedi Mulyadi menyambut warga terdampak korban Cianjur, sampai dengan merasa tersindir oleh kameramennya sendiri.",Positif;;;;
65,2022-11-27 16:44:28+00:00,mul73218158,Eummmm,Positif;;;;
66,2022-11-27 16:38:00+00:00,mul73218158,@P3RVERT3DGF Waw amazing😍,Positif;;;;
67,2022-11-27 16:04:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZYfIj,Positif;;;;
68,2022-11-27 15:00:33+00:00,jambiseru,"Dedi Mulyadi Hadir di Pernikahan Kiki Amalia, Ini Pesannya,Positif;;;;
;;;;
https://t.co/PmLI6ySHlp;;;;
https://t.co/fQ3KS2vzxW",Positif;;;;
69,2022-11-27 13:59:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,Positif;;;;
70,2022-11-27 13:43:32+00:00,vivacoidbandung,Kang Dedi Mulyadi Datangi Keluarga Dua Ibu Meninggal Gempa Cianjur https://t.co/Er6q75Ch0S,Positif;;;;
71,2022-11-27 13:09:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZHcGj,Positif;;;;
72,2022-11-27 12:20:06+00:00,kompascom,"Dedi Mulyadi menyalurkan bantuan pada korban gempa di Desa Mekarwangi, Kecamatan Warungkondang, Kabupaten Cianjur. https://t.co/5ietyeXuLn",Positif;;;;
73,2022-11-27 12:03:06+00:00,SinarHarapanID,"Bersama dengan segenap tim Kementerian BUMN, Erick  didampingi Kepala Divisi Regional Perhutani Jawa Barat dan Banten Asep Dedi Mulyadi beserta jajaran, Erick memeriksa kesiapan dan kelengkapan Tim Satgas Bencana BUMN yang terpusat di kantor Perhutani ...,Positif;;;;
https://t.co/wK4P8v2CEd",Positif;;;;
74,2022-11-27 11:59:00+00:00,golkarpedia,"Dedi Mulyadi: Mari Kita Ubah Cianjur Berduka Jadi Cianjur Bahagia,Negatif;;;;
#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #AirlanggaPresiden,Positif;;;;
https://t.co/Cu6e3sYLdc",Positif;;;;
75,2022-11-27 11:18:26+00:00,SNenichols,"Sudah Tidak Berat Lepas Anne Ratna Mustika, Dedi Mulyadi sampai Berterimakasih pada Warga Garut, Meski sempat ingin mempertahankan rumah tangganya, Dedi Mulyadi kali ini sudah tidak berat lepas Anne Ratna Mustika, mengaku sudah tidak sedih dengan apa yang dialaminya dan sampai be",Positif;;;;
76,2022-11-27 10:53:25+00:00,45Sidikjari,"Dedi Mulyadi Tidak Hadir di Sidang Gugatan Cerai, Anne  Ucapkan Selamat Menempuh Hidup Baru dan Samawa https://t.co/Su5GUqAmyf",Negatif;;;;
77,2022-11-27 10:22:43+00:00,DediMul36323941,@FalolaFitry Krim WA nys,Positif;;;;
78,2022-11-27 09:15:43+00:00,BMendut,"LENGKET TERUS DENGAN DEDI MULYADI, HYANG SUKMA AYU OGAH KEMBALI KEPELUKA... https://t.co/cRGKav3iUn lewat @YouTube",Negatif;;;;
79,2022-11-27 09:15:00+00:00,BMendut,DEDI MULYADI IBARATKAN DIRINYA RADIO JADUL DENGAN TAGLINE DUDA HARAPAN P... https://t.co/u1O1R3zaHb lewat @YouTube,Negatif;;;;
80,2022-11-27 09:14:43+00:00,BMendut,"ANNE RATNA MUSTIKA GERAM SOAL SIDANG YANG DITUNDA, DEDI MULYADI CURHAT B... https://t.co/nFkqMwwPBd lewat @YouTube",Negatif;;;;
81,2022-11-27 08:54:32+00:00,haluanharian,"Temui Korban Gempa Cianjur, Tangis Dedi Mulyadi Pecah Langsung Peluk Seorang Bocah https://t.co/WHIZ4JoRKL",Positif;;;;
82,2022-11-27 08:49:21+00:00,suaradotcom,"Dedi Mulyadi Ketahuan Merenung dan Meneteskan Air Mata, Sedih Ditinggal Anne Ratna Mustika?  https://t.co/DzSzEkIuo2",Negatif;;;;
83,2022-11-27 08:42:08+00:00,intipseleb,"Hadir di Pernikahan Kiki Amalia dan Agung Nugraha, Dedi Mulyadi Beri Pesan Menohok https://t.co/DghLATt4R0 https://t.co/S6g0rGiwUc",Negatif;;;;
84,2022-11-27 08:35:31+00:00,AriArini7,"@YRadianto RK sdh 4 tahun jadi gub (dan sblmnya sbg walikota BDG), tapi dia kurang tegas pada kelompok intoleran, jauh lebih berani Dedi Mulyadi",Positif;;;;
85,2022-11-27 08:29:22+00:00,detikhot,"Mantan bupati Purwakarta, Dedi Mulyadi, menghadiri acara akad nikah Kiki Amalia dan Agung Nugraha hari ini, Minggu (27/11). Dia pun menyampaikan pesan khusus untuk Agung yang telah sah menjadi suami artis kondang tersebut. https://t.co/qoF1qICBPv",Positif;;;;
86,2022-11-27 08:14:23+00:00,detikhot,"Mantan bupati Purwakarta, Dedi Mulyadi, menghadiri acara akad nikah Kiki Amalia dan Agung Nugraha hari ini, Minggu (27/11). Dia pun menyampaikan pesan khusus untuk Agung yang telah sah menjadi suami artis kondang tersebut. https://t.co/jeRENqBGov",Positif;;;;
87,2022-11-27 08:07:58+00:00,awka_ron112,"@AimanJudakusum1 @ChusnulCh__ @ridwankamil @SantorinisSun @DoanxEwon @YRadianto Betul,mending dedi mulyadi",Positif;;;;
88,2022-11-27 08:05:02+00:00,celebdotid,"Pernikahan Kiki Amalia Dihadiri Dedi Mulyadi, Beri Pesan Menohok pada Agung Nugraha,Positif;;;;
#CelebritiesDotID #InfoCelebTerkini ;;;;
https://t.co/5maxytZPba",Positif;;;;
89,2022-11-27 07:18:42+00:00,SNenichols,"Dedi Mulyadi Ketahuan Merenung dan Meneteskan Air Mata, Sedih Ditinggal Anne Ratna Mustika?, Dedi Mulyadi terlihat meneteskan air mata dan merenung saat perjalanan pulang dari Garut baru-baru ini. kesedihan tersebut apakah disebabkan oleh ditinggal Anne Ratna Mustika?. Dedi Mulya",Negatif;;;;
90,2022-11-27 07:00:27+00:00,okezonenews,"Hadir di Pernikahan, Dedi Mulyadi Beri Pesan Menyentuh untuk Suami Kiki Amalia  #LengkapCepatBeritanya #Celebrity #KabarArtis #Gosip . https://t.co/jdB0Sxdl7l",Positif;;;;
91,2022-11-27 06:56:20+00:00,justinfogarut,Anggota DPR RI Dedi Mulyadi Menangis Disambut Histeris Warga Garut https://t.co/zFmiz77dLV,Negatif;;;;
92,2022-11-27 06:26:25+00:00,viewjabar,Anggota DPR RI Dedi Mulyadi Menangis Disambut Histeris Warga Garut https://t.co/JlZJSgWFmU,Negatif;;;;
93,2022-11-27 05:53:34+00:00,kompascom,"Dedi Mulyadi ikut berbahagia atas pernikahan Kiki Amalia dengan Agung Nugraha, yang sudah seperti adik sendiri baginya. https://t.co/wIldeMMQug",Positif;;;;
94,2022-11-27 05:40:01+00:00,KompasEnt,Pesan Dedi Mulyadi di Pernikahan Kiki Amalia dan Agung Nugraha https://t.co/g0pESjHN6W,Positif;;;;
95,2022-11-27 01:39:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,Positif;;;;
96,2022-11-26 22:14:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZHcGj,Positif;;;;
97,2022-11-26 17:44:25+00:00,WawanSe74753141,@DediMulyadi71 Sangat cocok kang Dedi Mulyadi kalo jadi gubernur Jabar 🙏.,Positif;;;;
98,2022-11-26 15:39:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZYfIj,Positif;;;;
99,2022-11-26 13:42:38+00:00,_independen,"Dedi Mulyadi Versus Anne Makin Panas: Bupati Purwakarta Terdahulu Dijuluki Raja Pencitraan ;;;;
;;;;
https://t.co/i0rZJdEuR1;;;;
;;;;
#purwakarta",Negatif;;;;
